auta;spnd;numa
Brentano, Franz Dominikus Maria Joseph;43246;9/951
Schmidt, Philipp Nikolaus;45180;9/955
Rossmäßler, Johann Friedrich;5596;9/956
Kropf, Joseph Andreas von;46348;9/960
Willemer, Marianne oder Johann Jakob von;;9/962
Eckl, Klemens;50259;9/963
Auersperg, Joseph Graf von und zu;43018;9/964 9/1116
Eckermann, Johann Peter;36828;9/965 9/966
Eger, Zollamt (Unterzeichner: Johann Hubl);36839;9/967
Hubl, Johann;61288;9/967
? Böhme, Johann August;35860;9/973
Stein, Gottlob Friedrich Konstantin von;45399;9/978 9/986 9/989 9/1077 9/1089 9/1120 9/1266 9/1274 9/1442
Schmid, Georg;51893;9/991
Frege, Christian Gottlob;53768;9/994
Wolff, Pius Alexander;45779;9/999
Leske, Karl Wilhelm;39116;9/1003
Gradl, Johann Wendelin;37583;9/1006 9/1306 9/1437
Ruhl, Julius Eugen;44996;9/1009
Will, Gebrüder;52050;9/1019
