id|aufgabe02|aufgabe03
45625|Voß, Johann Heinrich (d. J.)|Voß, Johann #1+Heinrich#1- d. J. (1779-1822) 
45989|Bredt, Otto Albert|Albert ^%^%Bredt
44093|Humboldt, Wilhelm von|Humboldt, Friedrich #1+Wilhelm#1- Christian Karl Ferdinand von (1767-1835) 
50409|Gall, Franz Alois
40966|Sachsen-Weimar-Eisenach, Karl Friedrich Erbgroßherzog von|Sachsen-Weimar-Eisenach, Karl Friedrich Großherzog von (1783-1853) 
49411|Immermann, Karl Leberecht|Immermann, Karl Leberecht (1796-1840) 
43142|Biedenfeld, Ferdinand Leopold Karl von|Ferdinand von ^%^%Biedenfeld
37232|Fritsch, Karl Wilhelm von|Fritsch, #1+Karl#1- #1+Wilhelm#1- Gerhard von (1769-1851) 
40029|Odeleben, Ernst Gottfried von|Odeleben (Hanisch von O.; bis 1790: Hanisch), Ernst Gottfried von (1773-1828) 
43751|Giesecke, Karl Ludwig|Giesecke, #1+Karl#1- Ludwig (Charles Lewis G.; eigentl. Johann Georg Metzler; auch: Metzler-G., Metzler von G.) (1761-1833) 
66970|Nicht ermittelt
38370|Jäger, Georg Friedrich|Jäger (Jaeger), #1+Georg#1- Friedrich (seit 1850:) von (1785-1866) 
39472|Mattoni, Andreas Vinzenz Heinrich Peter|Mattoni, #1+Andreas#1- Vinzenz #1+Heinrich#1- Peter (1779-1864) 
35392|Autenrieth, Hermann Friedrich|Hermann Friedrich ^%^%Autenrieth
51266|Lancken, Christoph Dietrich Gustav von der
51739|Sprengel, Gustav
44480|Mahr, Johann Heinrich Christian|Mahr, #1+Johann#1- Heinrich #1+Christian#1- (1787-1869) 
45898|Athenstädt|^%^%Athenstädt
50144|Gillies, Robert Pearse
36183|Burdach, Karl Friedrich|Burdach, Karl Friedrich (1776-1847) 
